CHI	189.0	237.0	122.0	92.0	20	38	2	0	1
DET	250.0	226.0	118.0	90.0	21	20	1	1	1
GB	237.0	189.0	92.0	122.0	38	20	0	2	1
MIN	328.0	169.0	41.0	73.0	17	20	3	0	1
BAL	155.0	196.0	110.0	72.0	25	9	2	1	1
PIT	198.0	203.0	41.0	188.0	7	30	2	1	1
CLE	144.0	67.0	206.0	75.0	24	3	2	0	1
CIN	67.0	144.0	75.0	206.0	3	24	0	2	1
SEA	95.0	334.0	85.0	92.0	13	30	0	0	1
SF	203.0	198.0	188.0	41.0	30	7	1	2	1
LAR	334.0	95.0	92.0	85.0	30	13	0	0	1
ARI	114.0	156.0	96.0	92.0	16	20	2	3	1
KC	226.0	250.0	90.0	118.0	20	21	1	1	1
LAC	200.0	466.0	233.0	70.0	34	36	0	2	1
LV	200.0	166.0	61.0	94.0	17	16	1	0	1
DEN	166.0	200.0	94.0	61.0	16	17	0	1	1
TB	169.0	328.0	73.0	41.0	20	17	0	3	1
NO	282.0	181.0	69.0	104.0	16	15	2	3	1
ATL	91.0	127.0	130.0	154.0	24	10	0	3	1
CAR	127.0	91.0	154.0	130.0	10	24	3	0	1
JAX	237.0	215.0	105.0	65.0	31	21	2	3	1
IND	215.0	237.0	65.0	105.0	21	31	3	2	1
HOU	196.0	155.0	72.0	110.0	9	25	1	2	1
TEN	181.0	282.0	104.0	69.0	15	16	3	2	1
DAL	143.0	63.0	122.0	108.0	40	0	0	3	1
PHI	154.0	306.0	97.0	76.0	25	20	1	2	1
WAS	156.0	114.0	92.0	96.0	20	16	3	2	1
NYG	63.0	143.0	108.0	122.0	0	40	3	0	1
BUF	217.0	117.0	97.0	172.0	16	22	4	1	1
MIA	466.0	200.0	70.0	233.0	36	34	2	0	1
NE	306.0	154.0	76.0	97.0	20	25	2	1	1
NYJ	117.0	217.0	172.0	97.0	22	16	1	4	1
